# Lote de cartas Foil — agosto/2026
# Formato aceito pelo painel admin ("Adicionar cartas por link") e por
# scripts/add-cards-by-link.mjs:  Nome da carta | link da imagem
# TCG: Magic · Tipo: Foil
Doctor Doom, Unrivaled #654 foil | https://lh3.googleusercontent.com/pw/AP1GczM-5EJwsSh42bFWzfT4jrl89mtYJE0XsMzzSBxEUJtKH7fioqXZGPIAcCj46Vdh0U87VtSQB3jE5FBF2ewLVy9qq0UMXpDq3riJIQnc5UDrVfO4EoE=w1600-h1600-s-no-gm?authuser=0
Eddie Brock/Venom, Lethal Protector SPM #233 foil | https://lh3.googleusercontent.com/pw/AP1GczPdv_vR27jW6ym38yCr2MYju_ULqchauNgNC49ztHywzqZ0vl1f_NlI9svQaOK2PP8fhx2x6ay6TSXLzoIIwbbf0xObG6JzFvKQCFwdTLJ_evYRClM=w1600-h1600-s-no-gm?authuser=0
Eldrazi Temple EOS #149 New Galaxy Foil | https://lh3.googleusercontent.com/pw/AP1GczOP5CdzeHY4Rzsg4DK5WSf2F7FkVz9Hnt4tWuRL6tHrm9oldT3cCiCusQ56SwYoZ8WP3A608Y1b-9q7hcjWtP5eMqhvgOJMk537sJ6QolVk7Dg0dyo=w1600-h1600-s-no-gm?authuser=0
Elektra, Daughter of the Hand MSH #395 foil | https://lh3.googleusercontent.com/pw/AP1GczORRfk7EgTdquOIb1oT4seN7FlfeQTZAxbVO0CZ3PV8uUPFeiTXoUEzU5sq3wuAum0dSnDAxfFoX6uEBu7_G4XU4Cs7kwje7C86FhczpczSvtKSqbk=w1600-h1600-s-no-gm?authuser=0
Fable of the Mirror-Breaker SCH #44 foil | https://lh3.googleusercontent.com/pw/AP1GczMxw_k9aQxCxtQia-iuNs8LQuIFA3GQVuWY4-paI9p9OEPCBOiyPKTF86EK55DlNZXsgT88SbKlS3dyKd6ux8PnxXwdX4SpdMEJkNVlpEHPFOLA5CY=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 1092 foil | https://lh3.googleusercontent.com/pw/AP1GczNXEksosM0Bw7mSRzW_8pR_ttUzvXvpsXaHci34aS7Waiuv433JzkeVowS_niZea28BkiQx4d8da17UJdxhDWOIGUK-6muHCz82-mtRkUltcK2NcJA=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 1134 foil | https://lh3.googleusercontent.com/pw/AP1GczOuUg3LSMpR2yDhfrtPPup2l9CoWYIyVBXE62aEebFarEZ5XJCmwiNJJ1OmKt9XSTtgLnxBrGwg2zMAN-3Cs5PpExnY1DlRaPQBxcRigX1R5z-jDOQ=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 1386 foil | https://lh3.googleusercontent.com/pw/AP1GczPw_dcI--1DqUEcku-mZ2WhaA0TXgYok7cY2dW_mN0tC4HwjkHjnQ4MSz50tbVPKf05dOJRv9yPdIwreCAy0iitCcgMRZbYLz1xULsl7qRYF7aveuU=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 1949 foil | https://lh3.googleusercontent.com/pw/AP1GczMuGCvz-6LWgfztGZmPaTE0wjU_WwyRUDKqhvKnIoCm6iBV_DCuOH4Qr9WPGTLwTIVGrNwxQPutvMlQ9aPg7gO21EVs0TkXoZ62zZmvNECO4gSEBvE=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 2513 foil | https://lh3.googleusercontent.com/pw/AP1GczP3w0_l3m0jqazjoKbju9JrWKfUSaP529XQkrNOwchTC8aO06Nnh_h2qKZl2Fm1eSeRsP9i25Ui1TynG_xlervpFQIIdZ6-pQwAvV69WYy_M-4IFu0=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 2544 foil | https://lh3.googleusercontent.com/pw/AP1GczN8nHE8qlw6oHpDAqy5F3o53-jS_Q8CTqguEorznieqMkrLY-uvm_AiE63XXHySsffSMJKLGc1u3n-fNa8baDWhFsJ0mWJ0W6zg27wqduvusrzD4QU=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 363 foil | https://lh3.googleusercontent.com/pw/AP1GczMYUjqcigFHGwstjzhUAM6ptcfUxEEt64ZgQFEXgpcNqWzIkmo_fbusK2h4SGGGnjkjHkqp1ikFoA8YmTlIqCHrKo5E2eOrs6Ks2ztuHHg_VXA1E3U=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 395 foil | https://lh3.googleusercontent.com/pw/AP1GczMlZlVcjKHrg0GnpUNlR_7zl9hR_8kFYYQArxeCAl5MsrHVwF9ozWvBrlAQS9S9V2BrIDFtvENfJDWKaoxBkl8hm3qx-ia3mnRxRbRqeohb-YDFLb4=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 419 foil | https://lh3.googleusercontent.com/pw/AP1GczP42Dpu3pbsIdd7euBsgecAwS13f2H4YivgTZmvUDhEg6ba1WSXWEg0z-WmC-qYYUj_h454MrEgIQ4P2ZZB63wmulvBrjcqQHyuX9uOGTnuCEPbYVM=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 452 foil | https://lh3.googleusercontent.com/pw/AP1GczOEOTvuREfIAUZQtOUSlxfM4F1xJ9RCK4ExBu9x4vrk32QV_Zv4NsW_cEIuPltdGJnB2-Q6jF2WZclqGbUQhCNdHTvYup40WBvjKw3hR9OxU1nUOdQ=w1600-h1600-s-no-gm?authuser=0
Forest SLD# 476 foil | https://lh3.googleusercontent.com/pw/AP1GczM-0p8oyxJXI1A2y9FFnxEt4gFWhoKUjbvAWl2yragcxn-64PRGmqqSlJzYoVfEWCVRk5Lory27oMSpk5Nvna0aDNEJyobj4EOWXD6Scv1wSeHbLz8=w1600-h1600-s-no-gm?authuser=0
